gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000052337_7SK	0.00	0.00	1.27	0.00	0.00
ENSRNOG00000037206_Ccdc77	7.98	5.56	10.29	7.73	1.88
ENSRNOG00000018202_Spata31a5	0.02	0.00	0.05	0.02	0.22
ENSRNOG00000014992_M6pr	96.70	22.82	90.90	81.39	93.11
ENSRNOG00000052474_AABR07070714.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056710_AABR07024381.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020374_Tmem8a	11.92	3.94	11.53	7.33	26.44
ENSRNOG00000058703_AABR07037176.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016818_Fgfr3	2.51	0.07	0.24	0.10	1.42
ENSRNOG00000051182_AABR07072158.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046401_AABR07065886.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018097_Emc1	7.98	2.04	4.87	5.15	5.91
ENSRNOG00000015708_E2f4	12.99	4.99	3.58	4.34	27.42
ENSRNOG00000057757_AABR07058501.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014829_Prmt3	3.12	1.25	1.17	2.11	6.03
ENSRNOG00000047324_LOC100912432	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054656_AABR07061458.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029726_Gstm1	88.65	119.47	103.60	178.74	86.87
ENSRNOG00000048407_LOC100912070	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000026754_Usp47	20.80	4.04	12.59	14.42	15.67
ENSRNOG00000020495_Eif3k	97.06	173.42	74.88	106.82	98.89
ENSRNOG00000046567_AABR07017676.1	0.00	0.00	0.00	0.00	0.97
ENSRNOG00000003846_Pitpna	53.94	31.77	7.64	8.68	120.48
ENSRNOG00000041381_Mir208b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049606_AABR07025900.1	0.00	0.00	0.37	0.34	0.58
ENSRNOG00000011517_Tnfrsf21	15.41	3.96	10.86	13.13	27.54
ENSRNOG00000012482_Ndrg4	1.30	0.07	17.85	36.16	1.32
ENSRNOG00000057900_U1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019807_Sufu	4.57	0.95	1.32	2.28	3.94
ENSRNOG00000052635_SNORA62	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029416_AC109942.1	2.01	0.08	0.93	3.00	0.89
ENSRNOG00000023317_Colgalt1	6.17	2.38	1.23	2.26	9.63
ENSRNOG00000036397_AABR07027722.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020110_B4gat1	33.61	4.31	9.64	13.08	31.25
ENSRNOG00000041199_Mir878	0.00	0.00	0.00	0.00	0.00
