gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000061728_AABR07072528.4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042277_AABR07016578.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002345_Rasgef1b	2.00	0.00	26.00	16.00	4.00
ENSRNOG00000053472_AABR07071487.1	0.00	0.00	4.64	3.06	4.08
ENSRNOG00000059889_AC120291.4	4.00	0.00	0.00	0.00	0.00
ENSRNOG00000054270_AABR07017604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052730_Psmb3	3409.00	9445.00	4618.00	3784.00	3206.00
ENSRNOG00000057703_Cabp7	0.00	3.13	1.03	5.21	2.06
ENSRNOG00000054723_AABR07058174.1	0.00	2.00	0.00	0.00	0.00
ENSRNOG00000053512_AABR07005790.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031707_Tuba3a	2.00	0.00	0.00	4.00	2.00
ENSRNOG00000061180_AABR07026377.1	14.00	11.00	3.01	12.09	0.00
ENSRNOG00000058819_AABR07056767.1	6.00	7.00	0.00	6.00	6.00
ENSRNOG00000057642_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056769_AABR07012040.1	2.00	0.00	0.00	0.00	0.00
ENSRNOG00000055815_AABR07044790.1	0.00	0.00	0.00	0.00	1.00
ENSRNOG00000055368_Olr806	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059262_AABR07024786.1	1.00	0.00	0.00	10.00	0.00
ENSRNOG00000021916_Slc16a12	3933.00	17.00	218.00	156.00	4362.00
ENSRNOG00000055091_Y_RNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052345_AABR07061453.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004201_Rims2	36.00	53.00	30.00	26.00	29.00
ENSRNOG00000047453_Casd1	64.00	9.00	65.00	110.00	47.00
ENSRNOG00000059982_LOC100910599	0.00	3.00	0.00	0.00	0.00
ENSRNOG00000016029_Rb1	102.00	18.00	151.00	190.00	156.00
ENSRNOG00000049545_AABR07065631.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061827_AC120938.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061583_AABR07030690.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052039_AABR07044388.3	4.00	0.00	1.00	1.00	7.00
ENSRNOG00000056985_U4	0.00	1.27	1.00	1.00	0.00
ENSRNOG00000049010_AABR07007399.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019228_Pik3r2	208.00	89.00	662.00	437.00	142.00
ENSRNOG00000029158_LOC100362173	0.00	0.00	0.00	3.00	0.00
ENSRNOG00000017983_Ubac1	1601.00	1426.00	2106.00	1720.00	1472.00
ENSRNOG00000029461_AABR07072400.1	9.23	12.58	5.23	10.77	0.00
ENSRNOG00000049112	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051074_AABR07048422.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000047359_Olr161	0.00	2.00	0.00	6.00	1.00
ENSRNOG00000015865_Ap2s1	617.00	2197.00	925.00	1016.00	536.00
ENSRNOG00000031092_Rock1	547.00	1181.00	1011.00	971.00	730.00
ENSRNOG00000000658_Acacb	1000.00	9.00	36.00	53.00	1006.00
ENSRNOG00000009043_Piwil4	19.00	91.00	30.00	27.00	16.00
ENSRNOG00000050226_AABR07032277.1	2.00	1.00	0.00	2.00	0.00
ENSRNOG00000028366_Gphn	1309.00	218.00	849.00	703.00	1259.00
ENSRNOG00000060629_LOC103694855	17.68	150.22	0.00	0.00	113.07
